"gene_symbol","logFC","logCPM","F","PValue","FDR","gene"
"TMEM243",0.05265635941033,0.974660254107125,0.07924042130556,0.779700823498929,0.912263984356598,"TMEM243"
"TP53TG1",-0.280857710507539,2.01347852833578,9.90296840047989,0.00301759592505649,0.062265351311117,"TP53TG1"
"CROT",-0.0899480628827482,3.00616731174226,0.538417711321162,0.46712945853719,0.741837994902868,"CROT"
"ABCB4",-1.232502294585,1.48034348930019,12.4437250032601,0.00105627315691894,0.0359335183735316,"ABCB4"
"ABCB1",0.190618146215362,2.62267012723566,0.312938533551502,0.578989341801811,0.810247534872312,"ABCB1"
"HNRNPA1P9",0.171630950213609,-3.51793757945878,0.0596269563483935,0.807581975551835,0.92634226258473,"HNRNPA1P9"
"RUNDC3B",0.0461524077156188,6.27320573500023,0.159499512820043,0.691623136173002,0.870773241920246,"RUNDC3B"
"SLC25A40",0.106089021500044,4.56667419782862,1.68887612369406,0.200773588794577,0.502857822550882,"SLC25A40"
"DBF4",0.0504928289556024,3.68932533584237,0.249918179718738,0.619718550312026,0.833104500476463,"DBF4"
"ADAM22",0.115699932634419,7.05588065711452,1.24975380336721,0.269896254272029,0.581156117005762,"ADAM22"
"SRI",-0.0590835767891442,5.49648225249176,0.634189768216993,0.43026087303495,0.715404720269301,"SRI"
"CTB-167B5.1",0.225714888735516,-3.04736836472297,0.260049893948718,0.611631969831096,0.830455249224297,"CTB-167B5.1"
"AC003991.3",0.0905442404610646,-2.42977947478983,0.072752385092412,0.788487546460476,0.916779812464741,"AC003991.3"
"CTB-167B5.2",0.328859698244397,-3.19108520767945,0.369523532566905,0.544965111034341,0.788397033569507,"CTB-167B5.2"
"STEAP4",-0.178662043514222,-3.12011375404657,0.180751011239855,0.671921896882759,0.860709528565091,"STEAP4"
"ZNF804B",-0.312344324909388,0.278467750231391,1.70822198068664,0.198284814306312,0.499410700612771,"ZNF804B"
"C7orf62",0.192684347374005,-3.53763265186698,0.0975780921446249,0.755392834391849,0.90291649304003,"C7orf62"
"AC002383.2",0.0295212364385288,-3.59896654277905,0.00256107548403605,0.959734554746576,0.991494582104718,"AC002383.2"
